key,value,date
Muse,0,2008-8
Muse,0,2008-9
Muse,0,2008-10
Muse,0,2008-11
Muse,0,2008-12
Muse,0,2009-1
Muse,0,2009-2
Muse,0,2009-3
Muse,0,2009-4
Muse,0,2009-5
Muse,0,2009-6
Muse,0,2009-7
Muse,10,2009-8
Muse,0,2009-9
Muse,0,2009-10
Muse,0,2009-11
Muse,0,2009-12
Muse,0,2010-1
Muse,0,2010-2
Muse,0,2010-3
Muse,0,2010-4
Muse,0,2010-5
Muse,0,2010-6
Muse,0,2010-7
Muse,0,2010-8
Muse,0,2010-9
Muse,0,2010-10
Muse,43,2010-11
Muse,203,2010-12
Muse,169,2011-1
Muse,43,2011-2
Muse,40,2011-3
Muse,70,2011-4
Muse,65,2011-5
Muse,71,2011-6
Muse,32,2011-7
Muse,19,2011-8
Muse,43,2011-9
Muse,35,2011-10
Muse,34,2011-11
Muse,102,2011-12
Muse,17,2012-1
Muse,66,2012-2
Muse,30,2012-3
Muse,56,2012-4
Muse,30,2012-5
Muse,62,2012-6
Muse,84,2012-7
Muse,15,2012-8
Muse,42,2012-9
Muse,33,2012-10
Muse,8,2012-11
Muse,18,2012-12
Muse,21,2013-1
Muse,28,2013-2
Muse,0,2013-3
Muse,17,2013-4
Muse,15,2013-5
Muse,15,2013-6
Muse,0,2013-7
Muse,5,2013-8
Muse,17,2013-9
Muse,1,2013-10
Muse,11,2013-11
Muse,27,2013-12
Muse,10,2014-1
Muse,12,2014-2
Muse,19,2014-3
Muse,4,2014-4
Muse,4,2014-5
Muse,0,2014-6
Muse,0,2014-7
Muse,0,2014-8
Muse,5,2014-9
Muse,0,2014-10
Muse,0,2014-11
Muse,0,2014-12
MGMT,0,2008-8
MGMT,0,2008-9
MGMT,0,2008-10
MGMT,0,2008-11
MGMT,0,2008-12
MGMT,0,2009-1
MGMT,0,2009-2
MGMT,0,2009-3
MGMT,0,2009-4
MGMT,0,2009-5
MGMT,0,2009-6
MGMT,0,2009-7
MGMT,1,2009-8
MGMT,0,2009-9
MGMT,0,2009-10
MGMT,0,2009-11
MGMT,0,2009-12
MGMT,0,2010-1
MGMT,0,2010-2
MGMT,0,2010-3
MGMT,0,2010-4
MGMT,0,2010-5
MGMT,0,2010-6
MGMT,0,2010-7
MGMT,0,2010-8
MGMT,0,2010-9
MGMT,0,2010-10
MGMT,48,2010-11
MGMT,103,2010-12
MGMT,116,2011-1
MGMT,109,2011-2
MGMT,86,2011-3
MGMT,42,2011-4
MGMT,51,2011-5
MGMT,28,2011-6
MGMT,19,2011-7
MGMT,64,2011-8
MGMT,34,2011-9
MGMT,10,2011-10
MGMT,15,2011-11
MGMT,3,2011-12
MGMT,20,2012-1
MGMT,18,2012-2
MGMT,6,2012-3
MGMT,24,2012-4
MGMT,41,2012-5
MGMT,82,2012-6
MGMT,24,2012-7
MGMT,8,2012-8
MGMT,4,2012-9
MGMT,8,2012-10
MGMT,5,2012-11
MGMT,1,2012-12
MGMT,0,2013-1
MGMT,9,2013-2
MGMT,1,2013-3
MGMT,0,2013-4
MGMT,6,2013-5
MGMT,0,2013-6
MGMT,5,2013-7
MGMT,2,2013-8
MGMT,42,2013-9
MGMT,18,2013-10
MGMT,12,2013-11
MGMT,9,2013-12
MGMT,18,2014-1
MGMT,24,2014-2
MGMT,8,2014-3
MGMT,12,2014-4
MGMT,0,2014-5
MGMT,0,2014-6
MGMT,0,2014-7
MGMT,0,2014-8
MGMT,2,2014-9
MGMT,0,2014-10
MGMT,0,2014-11
MGMT,0,2014-12
alt-J,0,2008-8
alt-J,0,2008-9
alt-J,0,2008-10
alt-J,0,2008-11
alt-J,0,2008-12
alt-J,0,2009-1
alt-J,0,2009-2
alt-J,0,2009-3
alt-J,0,2009-4
alt-J,0,2009-5
alt-J,0,2009-6
alt-J,0,2009-7
alt-J,0,2009-8
alt-J,0,2009-9
alt-J,0,2009-10
alt-J,0,2009-11
alt-J,0,2009-12
alt-J,0,2010-1
alt-J,0,2010-2
alt-J,0,2010-3
alt-J,0,2010-4
alt-J,0,2010-5
alt-J,0,2010-6
