key,value,date
...And You Will Know Us by the Trail of Dead,0,2008-8
...And You Will Know Us by the Trail of Dead,0,2008-9
...And You Will Know Us by the Trail of Dead,0,2008-10
...And You Will Know Us by the Trail of Dead,0,2008-11
...And You Will Know Us by the Trail of Dead,0,2008-12
...And You Will Know Us by the Trail of Dead,0,2009-1
...And You Will Know Us by the Trail of Dead,0,2009-2
...And You Will Know Us by the Trail of Dead,0,2009-3
...And You Will Know Us by the Trail of Dead,0,2009-4
...And You Will Know Us by the Trail of Dead,0,2009-5
...And You Will Know Us by the Trail of Dead,0,2009-6
...And You Will Know Us by the Trail of Dead,0,2009-7
...And You Will Know Us by the Trail of Dead,1,2009-8
...And You Will Know Us by the Trail of Dead,0,2009-9
...And You Will Know Us by the Trail of Dead,0,2009-10
...And You Will Know Us by the Trail of Dead,0,2009-11
...And You Will Know Us by the Trail of Dead,0,2009-12
...And You Will Know Us by the Trail of Dead,0,2010-1
...And You Will Know Us by the Trail of Dead,0,2010-2
...And You Will Know Us by the Trail of Dead,0,2010-3
...And You Will Know Us by the Trail of Dead,0,2010-4
...And You Will Know Us by the Trail of Dead,0,2010-5
...And You Will Know Us by the Trail of Dead,0,2010-6
...And You Will Know Us by the Trail of Dead,0,2010-7
...And You Will Know Us by the Trail of Dead,0,2010-8
...And You Will Know Us by the Trail of Dead,0,2010-9
...And You Will Know Us by the Trail of Dead,0,2010-10
...And You Will Know Us by the Trail of Dead,0,2010-11
...And You Will Know Us by the Trail of Dead,0,2010-12
...And You Will Know Us by the Trail of Dead,0,2011-1
...And You Will Know Us by the Trail of Dead,0,2011-2
...And You Will Know Us by the Trail of Dead,0,2011-3
...And You Will Know Us by the Trail of Dead,0,2011-4
...And You Will Know Us by the Trail of Dead,0,2011-5
...And You Will Know Us by the Trail of Dead,0,2011-6
...And You Will Know Us by the Trail of Dead,0,2011-7
...And You Will Know Us by the Trail of Dead,0,2011-8
...And You Will Know Us by the Trail of Dead,0,2011-9
...And You Will Know Us by the Trail of Dead,0,2011-10
...And You Will Know Us by the Trail of Dead,0,2011-11
...And You Will Know Us by the Trail of Dead,0,2011-12
...And You Will Know Us by the Trail of Dead,0,2012-1
...And You Will Know Us by the Trail of Dead,0,2012-2
...And You Will Know Us by the Trail of Dead,0,2012-3
